;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0;0.412971429;0.063732;
Non-renewable;Fossil fuel;GASOLINE;4.00E+04;0.325283019;0.061855175;
Non-renewable;Fossil fuel;DIESEL;6.00E+04;0.3148;0.063479071;
Renewable;Biofuel;BIOETHANOL;0.00E+00;0;0.115568655;
Renewable;Biofuel;BIODIESEL;0.00E+00;0;0.123956834;
Non-renewable;Fossil fuel;LFO;3.00E+05;0.293867925;0.045171826;
Non-renewable;Fossil fuel;GAS;1.22E+05;0.256346154;0.032342941;
Renewable;Biofuel;GAS_RE;1.77E+04;0;0.127255419;
Renewable;Biomass;WOOD;1.44E+04;0.010630631;0.02713846;
Renewable;Biomass;WET_BIOMASS;0;0.0118;0.005285223;
Non-renewable;Fossil fuel;COAL;13250;0.378679245;0.014665514;
Non-renewable;Other non-renewable;URANIUM;2.15E+05;0.0039;0.003876456;
Non-renewable;Other non-renewable;WASTE;0;0.1501;0.021187834;
Non-renewable;Other non-renewable;H2;0.00E+00;0.414044616;0.077642645;
Renewable;Biofuel;H2_RE;0.00E+00;0;0.137854413;
Non-renewable;Other non-renewable;AMMONIA;0.00E+00;0.285;0.071991938;
Non-renewable;Other non-renewable;METHANOL;0.00E+00;0.330188679;0.076589219;
Renewable;Biofuel;AMMONIA_RE;0.00E+00;0;0.092751343;
Renewable;Biofuel;METHANOL_RE;0.00E+00;0;0.115568655;
Export;Export;ELEC_EXPORT;3.00E+03;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;
Renewable;Non-biomass;RES_WIND;9.20E+03;0;0;
Renewable;Non-biomass;RES_SOLAR;4.60E+03;0;0;
Renewable;Non-biomass;RES_HYDRO;3.30E+02;0;0;
Renewable;Non-biomass;RES_GEO;0.00E+00;0;0;
Others;Others;CO2_ATM ;1.00E+15;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
